election,month,net
Bush '00,1,32
Bush '00,2,34
Bush '00,3,30
Bush '00,4,31
Bush '00,5,23
Bush '00,6,21
Bush '00,7,22
Bush '00,8,21
Bush '00,9,15
Bush '00,10,72
Bush '00,11,78
Bush '00,12,75
Obama '08,1,54
Obama '08,2,39
Obama '08,3,35
Obama '08,4,34
Obama '08,5,35
Obama '08,6,28
Obama '08,7,23
Obama '08,8,15
Obama '08,9,11
Obama '08,10,12
Obama '08,11,6
Obama '08,12,7
Trump '16,1,-2
Trump '16,2,-11
Trump '16,3,-16
Trump '16,4,-13
Trump '16,5,-16
Trump '16,6,-18
Trump '16,7,-19
Trump '16,8,-22
Trump '16,9,-19
Trump '16,10,-21
Trump '16,11,-18
Trump '16,12,-20
Biden '20,1,20
Biden '20,2,16
Biden '20,3,12
Biden '20,4,17
Biden '20,5,14
Biden '20,6,14
Biden '20,7,5
Biden '20,8,1
Biden '20,9,-12
Biden '20,10,-10
Biden '20,11,-13
Biden '20,12,-8
Trump '24,1,-1
Trump '24,2,-6
Trump '24,3,-10
Trump '24,4,-9
Trump '24,5,-10
Trump '24,6,-17
Trump '24,7,-21
Trump '24,8,-16
Trump '24,9,-16
Trump '24,10,-13
Trump '24,11,-24
Trump '24,12,-23
